instance_id;med(s0-original);med(s1-renaming);p(s1-renaming);A12(s1-renaming);med(s2-structural);p(s2-structural);A12(s2-structural);med(s3-problem-statement);p(s3-problem-statement);A12(s3-problem-statement);med(s4-combined);p(s4-combined);A12(s4-combined)
fasterxml__jackson-core-183;17.0;39.0;0.012*;0.00 (large);23.0;0.015*;0.02 (large);17.0;0.662;—;42.0;0.012*;0.00 (large)
mockito__mockito-3220;22.0;25.0;0.917;—;71.0;0.008*;0.00 (large);20.0;0.344;—;63.0;0.008*;0.00 (large)
fasterxml__jackson-core-370;20.0;70.0;0.011*;0.00 (large);23.0;0.526;—;29.0;0.344;—;66.0;0.011*;0.00 (large)
mockito__mockito-3129;32.0;47.0;0.036*;0.08 (large);30.0;0.672;—;34.0;0.530;—;31.0;1.000;—
elastic__logstash-14970;29.0;40.0;0.027*;0.06 (large);27.0;0.202;—;22.0;0.142;—;35.0;0.114;—
fasterxml__jackson-databind-1923;28.0;34.0;0.112;—;28.0;0.671;—;33.0;0.114;—;34.0;0.016*;0.02 (large)
elastic__logstash-16681;8.0;18.0;0.057;—;10.0;0.456;—;12.0;0.284;—;19.0;0.057;—
alibaba__fastjson2-82;70.0;70.0;1.000;—;53.0;0.750;—;70.0;0.834;—;73.0;0.526;—
mockito__mockito-3173;65.0;63.0;0.458;—;62.0;0.527;—;65.0;1.000;—;67.0;0.338;—
mockito__mockito-3167;63.0;60.0;1.000;—;63.0;0.596;—;62.0;0.462;—;63.0;0.915;—
mockito__mockito-3424;63.0;61.0;0.670;—;62.0;0.527;—;62.0;0.915;—;58.0;0.167;—
elastic__logstash-13914;62.0;57.0;0.599;—;58.0;0.138;—;55.0;0.059;—;56.0;0.290;—
fasterxml__jackson-databind-2036;48.0;47.0;0.290;—;64.0;0.203;—;52.0;0.916;—;65.0;0.093;—
apache__dubbo-11781;46.0;49.0;0.917;—;51.0;0.095;—;47.0;0.675;—;39.0;0.530;—
googlecontainertools__jib-4144;33.0;32.0;0.753;—;30.0;0.115;—;37.0;0.753;—;33.0;1.000;—
elastic__logstash-14981;24.0;34.0;0.142;—;35.0;0.249;—;24.0;0.672;—;36.0;0.116;—
elastic__logstash-16579;23.0;24.0;0.293;—;22.0;0.548;—;27.0;0.209;—;26.0;0.293;—
fasterxml__jackson-core-174;20.0;18.0;0.458;—;21.0;1.000;—;18.0;0.458;—;21.0;0.598;—
googlecontainertools__jib-4035;14.0;15.0;0.147;—;14.0;0.747;—;15.0;0.456;—;15.0;0.202;—
google__gson-1093;13.0;16.0;0.171;—;16.0;0.398;—;9.0;0.914;—;16.0;0.209;—
