instance_id;med(s0-original);med(s1-renaming);p(s1-renaming);A12(s1-renaming);med(s2-structural);p(s2-structural);A12(s2-structural);med(s3-problem-statement);p(s3-problem-statement);A12(s3-problem-statement);med(s4-combined);p(s4-combined);A12(s4-combined)
fasterxml__jackson-core-183;$0.5948;$1.5195;0.008*;0.00 (large);$0.8868;0.016*;0.04 (large);$0.6031;0.548;—;$1.7721;0.008*;0.00 (large)
mockito__mockito-3220;$0.8307;$1.0160;0.690;—;$3.0360;0.008*;0.00 (large);$0.7864;0.548;—;$2.7014;0.008*;0.00 (large)
fasterxml__jackson-core-370;$0.7945;$3.0201;0.008*;0.00 (large);$0.9288;0.421;—;$1.2346;0.548;—;$3.0093;0.008*;0.00 (large)
apache__dubbo-11781;$2.6428;$3.0006;0.841;—;$3.0357;0.008*;0.00 (large);$2.7176;0.421;—;$2.2164;0.841;—
elastic__logstash-14970;$1.4450;$1.9870;0.016*;0.04 (large);$1.3123;0.151;—;$1.0926;0.222;—;$1.7203;0.222;—
mockito__mockito-3129;$1.3622;$2.1574;0.032*;0.08 (large);$1.3093;0.548;—;$1.5687;0.548;—;$1.3445;1.000;—
fasterxml__jackson-databind-1923;$1.2355;$1.4806;0.151;—;$1.2761;0.548;—;$1.4690;0.151;—;$1.6486;0.032*;0.08 (large)
elastic__logstash-16579;$3.2264;$3.2000;1.000;—;$3.0589;0.421;—;$3.1215;0.548;—;$3.1697;0.548;—
mockito__mockito-3167;$3.0459;$3.0303;0.402;—;$3.0269;0.151;—;$3.0108;0.222;—;$3.0342;0.548;—
mockito__mockito-3173;$3.0307;$3.0339;1.000;—;$3.0231;0.421;—;$3.0222;0.548;—;$3.0236;0.690;—
mockito__mockito-3424;$3.0256;$3.0347;0.841;—;$3.0474;0.310;—;$3.0681;0.056;—;$3.0405;1.000;—
elastic__logstash-13914;$3.0235;$3.0198;0.841;—;$3.0172;0.310;—;$3.0359;0.690;—;$3.0489;0.690;—
alibaba__fastjson2-82;$3.0048;$2.9119;1.000;—;$2.0557;0.421;—;$3.0224;0.151;—;$3.0028;1.000;—
fasterxml__jackson-databind-2036;$2.1558;$2.0720;0.421;—;$3.0038;0.095;—;$2.4196;0.548;—;$3.0275;0.095;—
googlecontainertools__jib-4144;$1.6054;$1.4968;0.841;—;$1.4094;0.095;—;$1.7873;0.548;—;$1.5477;1.000;—
elastic__logstash-14981;$1.1927;$1.6673;0.222;—;$1.7868;0.310;—;$1.1677;1.000;—;$1.7151;0.151;—
fasterxml__jackson-core-174;$0.8232;$0.7680;0.841;—;$0.7982;1.000;—;$0.6649;0.841;—;$0.9705;0.151;—
elastic__logstash-16681;$0.7782;$1.6866;0.056;—;$0.9966;0.548;—;$1.1433;0.421;—;$1.7478;0.151;—
googlecontainertools__jib-4035;$0.5054;$0.5623;0.056;—;$0.5417;0.222;—;$0.5675;0.421;—;$0.5374;0.222;—
google__gson-1093;$0.4193;$0.5524;0.056;—;$0.5133;0.421;—;$0.2993;0.841;—;$0.5313;0.222;—
