instance_id,med(s0-original),med(s1-renaming),p(s1-renaming),A12(s1-renaming),med(s2-structural),p(s2-structural),A12(s2-structural),med(s3-problem-statement),p(s3-problem-statement),A12(s3-problem-statement),med(s4-combined),p(s4-combined),A12(s4-combined)
fasterxml__jackson-core-183,1094.0,3803.0,0.016*,0.04 (large),3062.0,0.032*,0.08 (large),1861.0,0.056,—,4859.0,0.016*,0.04 (large)
google__gson-1093,434.0,835.0,0.016*,0.04 (large),474.0,0.690,—,398.0,1.000,—,688.0,0.032*,0.08 (large)
fasterxml__jackson-core-370,2261.0,7215.0,0.008*,0.00 (large),2144.0,0.841,—,3182.0,0.421,—,6140.0,0.008*,0.00 (large)
mockito__mockito-3220,1120.0,1108.0,1.000,—,8613.0,0.008*,0.00 (large),1214.0,0.690,—,5671.0,0.008*,0.00 (large)
fasterxml__jackson-databind-2036,3683.0,4820.0,0.310,—,4096.0,0.310,—,4493.0,0.151,—,5602.0,0.016*,0.04 (large)
mockito__mockito-3129,2445.0,3867.0,0.032*,0.08 (large),2135.0,0.421,—,2926.0,0.421,—,2861.0,0.548,—
mockito__mockito-3424,10524.0,11556.0,0.690,—,12179.0,0.690,—,11447.0,0.841,—,15567.0,0.032*,0.08 (large)
alibaba__fastjson2-82,9245.0,7849.0,0.690,—,5813.0,0.222,—,12475.0,0.222,—,6468.0,0.222,—
elastic__logstash-13914,8846.0,8774.0,0.548,—,10412.0,0.690,—,10283.0,1.000,—,11650.0,0.421,—
googlecontainertools__jib-4035,665.0,679.0,0.421,—,770.0,0.151,—,627.0,0.841,—,709.0,0.151,—
elastic__logstash-16579,49038.0,41004.0,0.421,—,41584.0,0.222,—,44116.0,0.310,—,44113.0,0.421,—
elastic__logstash-14981,3357.0,4034.0,0.690,—,4386.0,1.000,—,3598.0,1.000,—,3586.0,1.000,—
elastic__logstash-14970,3315.0,4178.0,0.548,—,2924.0,0.056,—,3167.0,0.222,—,3375.0,1.000,—
fasterxml__jackson-databind-1923,2516.0,2524.0,0.690,—,2434.0,1.000,—,4307.0,0.095,—,4843.0,0.095,—
googlecontainertools__jib-4144,2347.0,2023.0,0.222,—,2216.0,0.841,—,2048.0,0.690,—,2162.0,0.690,—
elastic__logstash-16681,2327.0,5682.0,0.310,—,3184.0,0.690,—,4331.0,1.000,—,4168.0,0.841,—
fasterxml__jackson-core-174,1877.0,2235.0,0.095,—,2218.0,0.095,—,1909.0,0.548,—,3728.0,0.056,—
mockito__mockito-3173,11196.0,12514.0,1.000,—,12557.0,0.841,—,8575.0,0.095,—,9236.0,0.222,—
mockito__mockito-3167,11044.0,12743.0,0.402,—,10912.0,0.690,—,12577.0,0.690,—,12030.0,0.841,—
apache__dubbo-11781,10103.0,8375.0,1.000,—,14188.0,0.222,—,11149.0,0.421,—,9849.0,0.841,—
