instance_id,med(s0-original),med(s1-renaming),p(s1-renaming),A12(s1-renaming),med(s2-structural),p(s2-structural),A12(s2-structural),med(s3-problem-statement),p(s3-problem-statement),A12(s3-problem-statement),med(s4-combined),p(s4-combined),A12(s4-combined)
fasterxml__jackson-core-370,"5,080","12,089",0.008*,0.00 (large),"5,292",0.841,—,"6,094",0.548,—,"11,703",0.008*,0.00 (large)
fasterxml__jackson-core-183,"2,990","8,127",0.032*,0.08 (large),"6,991",0.056,—,"5,059",0.222,—,"8,869",0.032*,0.08 (large)
mockito__mockito-3220,"2,673","2,699",0.548,—,"16,951",0.008*,0.00 (large),"2,610",0.841,—,"12,826",0.008*,0.00 (large)
fasterxml__jackson-core-174,"6,136","6,903",0.421,—,"8,222",0.008*,0.00 (large),"5,591",0.841,—,"12,449",0.056,—
mockito__mockito-3129,"5,302","10,697",0.032*,0.08 (large),"4,951",0.548,—,"6,418",0.310,—,"5,688",0.548,—
alibaba__fastjson2-82,"16,989","18,409",0.841,—,"12,348",0.310,—,"28,560",0.222,—,"12,534",0.016*,0.96 (large)
fasterxml__jackson-databind-2036,"8,203","9,747",0.421,—,"8,042",0.841,—,"10,371",0.095,—,"10,385",0.056,—
elastic__logstash-14970,"8,092","9,242",0.222,—,"6,289",0.056,—,"6,596",0.151,—,"8,226",1.000,—
elastic__logstash-16681,"6,469","15,988",0.222,—,"8,062",0.690,—,"11,640",0.841,—,"10,507",0.841,—
googlecontainertools__jib-4144,"6,452","5,883",0.151,—,"6,927",0.841,—,"6,164",1.000,—,"6,668",0.690,—
elastic__logstash-14981,"6,144","8,044",0.690,—,"8,794",0.841,—,"8,552",0.548,—,"7,121",1.000,—
fasterxml__jackson-databind-1923,"5,762","6,053",0.690,—,"6,620",0.151,—,"10,872",0.056,—,"11,813",0.095,—
apache__dubbo-11781,"30,386","24,870",1.000,—,"43,193",0.222,—,"30,303",1.000,—,"29,873",0.841,—
mockito__mockito-3167,"24,824","31,259",0.675,—,"23,651",0.690,—,"26,984",0.690,—,"27,134",0.421,—
mockito__mockito-3173,"21,489","27,771",1.000,—,"29,154",0.841,—,"14,207",0.151,—,"14,895",0.222,—
elastic__logstash-13914,"20,503","19,965",0.548,—,"29,262",0.548,—,"28,824",1.000,—,"34,905",0.421,—
mockito__mockito-3424,"17,871","23,316",0.690,—,"26,460",0.690,—,"23,247",0.690,—,"36,088",0.095,—
elastic__logstash-16579,"156,706","145,143",0.548,—,"139,294",0.421,—,"140,337",0.310,—,"134,406",0.548,—
google__gson-1093,"1,809","2,169",0.222,—,"2,006",0.690,—,949,0.841,—,"1,657",0.548,—
googlecontainertools__jib-4035,"1,574","1,705",0.095,—,"1,962",0.310,—,"1,757",0.841,—,"1,803",0.056,—
