instance_id;med(s0-original);med(s1-renaming);p(s1-renaming);A12(s1-renaming);med(s2-structural);p(s2-structural);A12(s2-structural);med(s3-problem-statement);p(s3-problem-statement);A12(s3-problem-statement);med(s4-combined);p(s4-combined);A12(s4-combined)
fasterxml__jackson-core-183;185,873;471,633;0.008*;0.00 (large);258,130;0.008*;0.00 (large);183,692;1.000;—;546,350;0.008*;0.00 (large)
mockito__mockito-3220;265,614;325,166;0.690;—;904,082;0.008*;0.00 (large);249,460;0.548;—;836,321;0.008*;0.00 (large)
fasterxml__jackson-core-370;241,573;948,627;0.008*;0.00 (large);284,320;0.421;—;379,684;0.421;—;944,226;0.008*;0.00 (large)
elastic__logstash-14970;439,362;616,439;0.016*;0.04 (large);405,991;0.310;—;339,309;0.310;—;532,310;0.151;—
mockito__mockito-3129;430,903;664,182;0.032*;0.08 (large);408,804;0.548;—;494,446;0.421;—;419,714;1.000;—
mockito__mockito-3424;919,192;897,679;0.548;—;877,765;0.690;—;912,420;1.000;—;825,378;0.095;—
elastic__logstash-13914;905,322;880,560;1.000;—;833,415;0.095;—;795,973;0.421;—;826,357;0.548;—
mockito__mockito-3167;899,665;854,279;0.834;—;875,495;0.222;—;865,358;0.310;—;883,215;0.841;—
mockito__mockito-3173;896,960;879,533;0.690;—;857,240;0.548;—;944,477;0.222;—;931,367;0.421;—
alibaba__fastjson2-82;848,636;868,235;0.690;—;633,436;0.548;—;871,603;0.421;—;938,020;0.421;—
apache__dubbo-11781;715,076;771,671;0.841;—;796,113;0.056;—;726,397;0.548;—;585,827;0.548;—
fasterxml__jackson-databind-2036;672,093;651,676;0.421;—;957,871;0.095;—;749,959;0.690;—;958,081;0.095;—
googlecontainertools__jib-4144;499,240;469,523;0.841;—;442,077;0.095;—;567,410;0.548;—;482,552;1.000;—
fasterxml__jackson-databind-1923;379,670;463,265;0.151;—;390,448;0.548;—;435,322;0.151;—;487,148;0.095;—
elastic__logstash-14981;367,236;512,361;0.222;—;551,623;0.310;—;356,456;0.690;—;536,080;0.151;—
elastic__logstash-16579;309,761;302,518;0.548;—;272,911;0.548;—;338,813;0.421;—;310,846;0.548;—
fasterxml__jackson-core-174;240,203;221,404;0.690;—;226,189;0.310;—;205,710;0.548;—;257,935;0.421;—
elastic__logstash-16681;228,517;499,561;0.056;—;291,878;0.421;—;320,608;0.421;—;517,121;0.095;—
googlecontainertools__jib-4035;160,594;179,468;0.095;—;170,286;0.222;—;179,829;0.421;—;170,168;0.548;—
google__gson-1093;130,211;173,273;0.056;—;160,997;0.421;—;95,015;0.841;—;168,831;0.222;—
