instance_id,med(s0-original),med(s1-renaming),p(s1-renaming),A12(s1-renaming),med(s2-structural),p(s2-structural),A12(s2-structural),med(s3-problem-statement),p(s3-problem-statement),A12(s3-problem-statement),med(s4-combined),p(s4-combined),A12(s4-combined)
fasterxml__jackson-core-183,"188,351","478,604",0.008*,0.00 (large),"265,625",0.008*,0.00 (large),"186,585",0.841,—,"555,219",0.008*,0.00 (large)
mockito__mockito-3220,"267,872","327,865",0.690,—,"924,855",0.008*,0.00 (large),"251,994",0.548,—,"849,147",0.008*,0.00 (large)
fasterxml__jackson-core-370,"246,228","960,716",0.008*,0.00 (large),"289,374",0.421,—,"387,141",0.421,—,"956,001",0.008*,0.00 (large)
elastic__logstash-14970,"446,091","625,617",0.016*,0.04 (large),"412,280",0.151,—,"344,286",0.310,—,"540,536",0.151,—
mockito__mockito-3129,"435,539","678,102",0.032*,0.08 (large),"414,329",0.548,—,"500,139",0.548,—,"425,402",1.000,—
mockito__mockito-3424,"937,063","920,995",0.421,—,"904,640",0.690,—,"935,667",1.000,—,"863,982",0.056,—
mockito__mockito-3167,"926,055","886,094",0.675,—,"903,348",0.222,—,"892,342",0.310,—,"911,260",0.690,—
elastic__logstash-13914,"925,825","901,924",1.000,—,"867,879",0.095,—,"839,174",0.310,—,"861,262",0.690,—
mockito__mockito-3173,"918,869","907,304",0.548,—,"886,394",0.548,—,"958,211",0.222,—,"946,262",0.222,—
alibaba__fastjson2-82,"879,232","896,538",0.841,—,"643,796",0.548,—,"900,203",0.421,—,"950,605",0.548,—
apache__dubbo-11781,"748,245","820,856",0.841,—,"839,306",0.056,—,"762,290",0.421,—,"616,424",0.548,—
fasterxml__jackson-databind-2036,"681,393","659,473",0.421,—,"968,915",0.095,—,"761,275",0.690,—,"969,087",0.095,—
googlecontainertools__jib-4144,"506,419","475,406",0.841,—,"447,619",0.095,—,"573,081",0.548,—,"489,220",1.000,—
elastic__logstash-16579,"462,899","447,661",0.548,—,"422,258",0.548,—,"479,150",0.548,—,"468,734",0.690,—
fasterxml__jackson-databind-1923,"386,105","469,318",0.151,—,"397,431",0.548,—,"446,194",0.151,—,"499,625",0.095,—
elastic__logstash-14981,"373,301","521,039",0.222,—,"560,417",0.310,—,"363,011",0.841,—,"543,201",0.151,—
fasterxml__jackson-core-174,"247,041","228,325",0.690,—,"234,165",0.690,—,"208,892",0.548,—,"271,059",0.222,—
elastic__logstash-16681,"234,185","512,087",0.056,—,"299,940",0.421,—,"332,709",0.421,—,"530,220",0.095,—
googlecontainertools__jib-4035,"162,168","181,060",0.095,—,"172,343",0.222,—,"181,746",0.421,—,"171,961",0.548,—
google__gson-1093,"132,122","175,442",0.056,—,"163,015",0.421,—,"95,964",0.841,—,"170,488",0.222,—
