instance_id,med(s0-original),med(s1-renaming),p(s1-renaming),A12(s1-renaming),med(s2-structural),p(s2-structural),A12(s2-structural),med(s3-problem-statement),p(s3-problem-statement),A12(s3-problem-statement),med(s4-combined),p(s4-combined),A12(s4-combined)
fasterxml__jackson-databind-2036,60.0,62.0,0.249,—,64.0,0.116,—,58.0,1.000,—,69.0,0.027*,0.06 (large)
elastic__logstash-13914,78.0,77.0,1.000,—,73.0,0.463,—,76.0,0.841,—,74.0,0.690,—
mockito__mockito-3173,76.0,72.0,0.080,—,76.0,0.456,—,74.0,0.287,—,76.0,0.502,—
mockito__mockito-3424,76.0,76.0,0.589,—,74.0,0.401,—,69.0,0.530,—,79.0,0.402,—
alibaba__fastjson2-82,70.0,62.0,0.209,—,64.0,0.248,—,70.0,0.832,—,66.0,0.526,—
mockito__mockito-3167,70.0,72.0,0.138,—,66.0,0.753,—,73.0,0.141,—,77.0,0.402,—
mockito__mockito-3129,69.0,70.0,0.832,—,66.0,0.462,—,73.0,0.056,—,68.0,0.834,—
fasterxml__jackson-core-370,59.0,61.0,0.690,—,52.0,0.690,—,41.0,1.000,—,69.0,0.207,—
googlecontainertools__jib-4144,58.0,43.0,0.344,—,55.0,0.293,—,61.0,0.916,—,66.0,1.000,—
elastic__logstash-16579,57.0,59.0,0.599,—,58.0,0.752,—,62.0,0.280,—,58.0,0.690,—
apache__dubbo-11781,50.0,47.0,1.000,—,41.0,0.841,—,41.0,0.753,—,48.0,0.841,—
google__gson-1093,44.0,39.0,0.841,—,35.0,0.690,—,43.0,1.000,—,36.0,0.600,—
elastic__logstash-14970,43.0,49.0,0.690,—,47.0,0.528,—,42.0,0.600,—,47.0,0.401,—
elastic__logstash-16681,43.0,45.0,0.828,—,45.0,0.752,—,45.0,0.752,—,44.0,0.237,—
mockito__mockito-3220,43.0,25.0,0.209,—,61.0,0.222,—,26.0,0.095,—,74.0,0.142,—
elastic__logstash-14981,39.0,38.0,0.916,—,49.0,0.841,—,48.0,0.463,—,51.0,0.600,—
fasterxml__jackson-core-183,35.0,41.0,0.310,—,42.0,0.548,—,28.0,1.000,—,49.0,0.249,—
fasterxml__jackson-core-174,33.0,22.0,0.209,—,35.0,0.916,—,28.0,0.462,—,36.0,0.675,—
fasterxml__jackson-databind-1923,31.0,32.0,0.834,—,35.0,0.462,—,29.0,0.398,—,31.0,0.833,—
googlecontainertools__jib-4035,18.0,21.0,0.402,—,27.0,0.173,—,22.0,0.753,—,27.0,0.173,—
