instance_id,med(s0-original),med(s1-renaming),p(s1-renaming),A12(s1-renaming),med(s2-structural),p(s2-structural),A12(s2-structural),med(s3-problem-statement),p(s3-problem-statement),A12(s3-problem-statement),med(s4-combined),p(s4-combined),A12(s4-combined)
fasterxml__jackson-databind-2036,$2.3283,$2.8769,0.222,—,$3.0058,0.056,—,$2.4488,0.690,—,$3.0299,0.016*,0.04 (large)
mockito__mockito-3129,$3.0464,$3.0281,0.841,—,$2.7362,0.056,—,$3.0361,0.841,—,$3.0366,0.421,—
elastic__logstash-16681,$3.0461,$3.0465,0.690,—,$3.0434,0.421,—,$3.0340,0.151,—,$3.0167,0.095,—
elastic__logstash-16579,$3.0303,$3.0353,0.421,—,$3.0124,0.690,—,$3.0428,0.222,—,$3.0094,1.000,—
mockito__mockito-3173,$3.0266,$3.0238,0.421,—,$3.0238,1.000,—,$3.0157,0.548,—,$3.0330,1.000,—
mockito__mockito-3167,$3.0161,$3.0376,0.222,—,$3.0092,1.000,—,$3.0159,1.000,—,$3.0085,0.841,—
elastic__logstash-13914,$3.0138,$3.0442,0.222,—,$3.0240,0.421,—,$3.0498,0.151,—,$3.0338,0.056,—
alibaba__fastjson2-82,$3.0132,$3.0244,0.548,—,$2.2520,0.310,—,$3.0113,0.548,—,$3.0192,1.000,—
mockito__mockito-3424,$3.0085,$3.0272,0.421,—,$3.0158,0.841,—,$3.0281,0.841,—,$3.0391,0.690,—
googlecontainertools__jib-4144,$3.0036,$1.9643,0.151,—,$2.2617,0.310,—,$2.5182,0.421,—,$3.0370,0.690,—
fasterxml__jackson-core-370,$2.3213,$3.0085,0.548,—,$1.9416,1.000,—,$1.3931,1.000,—,$3.0164,0.151,—
apache__dubbo-11781,$2.2316,$2.1316,1.000,—,$1.8801,1.000,—,$1.7800,0.548,—,$2.2694,0.841,—
elastic__logstash-14970,$2.0215,$2.1119,0.841,—,$2.0980,0.548,—,$2.0403,1.000,—,$2.0238,0.841,—
elastic__logstash-14981,$1.6937,$1.6222,0.690,—,$2.1925,0.841,—,$2.1493,0.548,—,$2.3068,0.421,—
google__gson-1093,$1.5049,$1.2522,1.000,—,$1.1623,0.690,—,$1.5379,1.000,—,$1.2001,0.421,—
mockito__mockito-3220,$1.4867,$0.8570,0.310,—,$2.4405,0.222,—,$0.8285,0.095,—,$3.0132,0.222,—
fasterxml__jackson-core-174,$1.1381,$0.6788,0.310,—,$1.2448,0.841,—,$0.9539,0.421,—,$1.2520,0.690,—
fasterxml__jackson-core-183,$1.0897,$1.3236,0.310,—,$1.4835,0.548,—,$0.8625,1.000,—,$1.9021,0.222,—
fasterxml__jackson-databind-1923,$0.9541,$1.1536,0.841,—,$1.1262,0.421,—,$0.9725,0.841,—,$1.0369,0.841,—
googlecontainertools__jib-4035,$0.5912,$0.6457,0.548,—,$0.8896,0.310,—,$0.7043,0.841,—,$1.0606,0.222,—
