instance_id;med(s0-original);med(s1-renaming);p(s1-renaming);A12(s1-renaming);med(s2-structural);p(s2-structural);A12(s2-structural);med(s3-problem-statement);p(s3-problem-statement);A12(s3-problem-statement);med(s4-combined);p(s4-combined);A12(s4-combined)
fasterxml__jackson-databind-2036;4258.0;7651.0;0.008*;0.00 (large);6754.0;0.008*;0.00 (large);7688.0;0.095;—;8099.0;0.016*;0.04 (large)
fasterxml__jackson-core-370;4410.0;7735.0;0.016*;0.04 (large);4243.0;0.841;—;2979.0;0.421;—;10455.0;0.008*;0.00 (large)
mockito__mockito-3220;2805.0;2189.0;0.548;—;9812.0;0.032*;0.08 (large);1315.0;0.222;—;6909.0;0.421;—
fasterxml__jackson-databind-1923;2804.0;4091.0;0.008*;0.00 (large);3362.0;0.421;—;2329.0;0.421;—;2521.0;0.548;—
mockito__mockito-3167;14784.0;11550.0;0.151;—;18383.0;0.690;—;15018.0;0.841;—;9754.0;0.008*;1.00 (large)
elastic__logstash-13914;9765.0;7534.0;0.310;—;13754.0;0.690;—;10646.0;1.000;—;9004.0;0.548;—
mockito__mockito-3424;7986.0;11008.0;0.095;—;10289.0;0.310;—;8372.0;0.841;—;8766.0;0.690;—
alibaba__fastjson2-82;7520.0;6323.0;0.690;—;5424.0;0.548;—;9668.0;0.548;—;9366.0;0.841;—
fasterxml__jackson-core-174;4417.0;2890.0;0.421;—;4030.0;0.421;—;4100.0;0.151;—;4092.0;0.690;—
elastic__logstash-14981;4372.0;3089.0;0.690;—;4869.0;0.548;—;3812.0;1.000;—;3969.0;1.000;—
googlecontainertools__jib-4144;4200.0;3700.0;0.421;—;3393.0;0.690;—;4200.0;1.000;—;3498.0;0.548;—
elastic__logstash-14970;4174.0;4500.0;1.000;—;4056.0;1.000;—;3329.0;0.310;—;3808.0;0.548;—
elastic__logstash-16579;40546.0;38501.0;1.000;—;40329.0;1.000;—;42154.0;0.690;—;23547.0;0.310;—
google__gson-1093;3660.0;3317.0;0.841;—;3115.0;0.841;—;4071.0;0.690;—;2539.0;0.548;—
fasterxml__jackson-core-183;3534.0;3960.0;0.421;—;4215.0;0.548;—;2549.0;0.690;—;4860.0;0.151;—
googlecontainertools__jib-4035;1974.0;2406.0;0.841;—;2576.0;0.151;—;2301.0;0.690;—;2494.0;0.310;—
elastic__logstash-16681;15650.0;17821.0;1.000;—;10224.0;0.095;—;13347.0;0.151;—;12332.0;0.421;—
mockito__mockito-3173;12501.0;7634.0;0.222;—;11692.0;0.690;—;10418.0;0.690;—;9078.0;0.310;—
apache__dubbo-11781;11782.0;6636.0;0.310;—;8147.0;0.548;—;6902.0;0.421;—;6666.0;0.310;—
mockito__mockito-3129;11309.0;12226.0;0.421;—;8881.0;0.095;—;8909.0;0.310;—;9412.0;0.421;—
