instance_id;med(s0-original);med(s1-renaming);p(s1-renaming);A12(s1-renaming);med(s2-structural);p(s2-structural);A12(s2-structural);med(s3-problem-statement);p(s3-problem-statement);A12(s3-problem-statement);med(s4-combined);p(s4-combined);A12(s4-combined)
mockito__mockito-3167;24,201;22,120;0.151;—;28,380;0.548;—;24,141;0.690;—;17,434;0.008*;1.00 (large)
fasterxml__jackson-databind-2036;12,216;17,075;0.095;—;17,944;0.095;—;14,967;0.421;—;17,070;0.032*;0.08 (large)
fasterxml__jackson-core-370;11,288;16,618;0.151;—;11,077;0.841;—;7,472;0.841;—;19,297;0.016*;0.04 (large)
google__gson-1093;9,354;7,787;1.000;—;7,787;0.841;—;9,511;0.690;—;6,346;0.548;—
elastic__logstash-14981;9,225;7,751;1.000;—;10,510;0.690;—;10,499;0.841;—;11,587;0.421;—
elastic__logstash-14970;9,011;10,529;1.000;—;10,743;0.421;—;9,318;0.548;—;9,543;0.841;—
fasterxml__jackson-core-174;8,586;5,825;0.548;—;8,067;0.421;—;8,399;0.548;—;7,886;0.690;—
mockito__mockito-3220;8,060;5,365;0.421;—;16,710;0.095;—;3,886;0.151;—;15,653;0.222;—
fasterxml__jackson-core-183;7,332;8,000;0.222;—;9,511;0.421;—;5,972;0.841;—;11,989;0.151;—
fasterxml__jackson-databind-1923;6,382;8,766;0.095;—;6,469;0.841;—;6,696;0.690;—;6,080;0.421;—
elastic__logstash-16579;50,433;48,173;1.000;—;50,130;1.000;—;52,167;0.841;—;32,322;0.421;—
googlecontainertools__jib-4035;4,408;4,891;1.000;—;6,827;0.151;—;5,182;1.000;—;7,485;0.151;—
mockito__mockito-3129;26,495;23,916;0.690;—;18,332;0.056;—;19,876;0.095;—;22,538;0.421;—
elastic__logstash-16681;22,760;24,149;0.841;—;16,345;0.095;—;18,493;0.151;—;19,395;0.095;—
mockito__mockito-3173;21,459;16,994;0.222;—;21,753;0.548;—;20,166;0.841;—;18,293;0.310;—
alibaba__fastjson2-82;21,363;21,004;0.222;—;11,894;0.310;—;19,435;0.421;—;20,149;0.548;—
apache__dubbo-11781;20,540;11,972;0.310;—;17,649;0.841;—;14,253;0.421;—;14,121;0.310;—
elastic__logstash-13914;19,290;17,077;0.421;—;23,490;0.690;—;18,913;0.841;—;18,292;0.690;—
mockito__mockito-3424;16,416;18,709;0.548;—;19,067;0.151;—;21,818;0.548;—;18,211;0.310;—
googlecontainertools__jib-4144;14,736;13,542;0.421;—;12,144;0.421;—;14,972;1.000;—;14,842;0.841;—
