instance_id;med(s0-original);med(s1-renaming);p(s1-renaming);A12(s1-renaming);med(s2-structural);p(s2-structural);A12(s2-structural);med(s3-problem-statement);p(s3-problem-statement);A12(s3-problem-statement);med(s4-combined);p(s4-combined);A12(s4-combined)
mockito__mockito-3167;1,051,609;1,079,492;0.151;—;1,033,392;0.548;—;1,051,503;0.841;—;1,101,815;0.008*;0.00 (large)
elastic__logstash-16579;907,366;932,445;1.000;—;901,405;1.000;—;912,325;1.000;—;926,528;0.841;—
fasterxml__jackson-databind-2036;859,130;1,048,315;0.421;—;1,098,234;0.095;—;873,266;0.841;—;1,105,571;0.056;—
fasterxml__jackson-core-370;845,594;1,081,622;0.841;—;720,775;0.841;—;512,575;1.000;—;1,082,328;0.421;—
apache__dubbo-11781;745,982;788,223;1.000;—;646,154;1.000;—;617,652;0.690;—;800,756;1.000;—
elastic__logstash-14970;726,767;781,575;1.000;—;774,740;0.690;—;751,918;1.000;—;752,255;0.841;—
elastic__logstash-14981;622,119;602,381;0.690;—;796,748;0.841;—;785,197;0.548;—;859,408;0.421;—
mockito__mockito-3220;546,314;310,591;0.222;—;875,931;0.222;—;308,066;0.095;—;1,070,253;0.310;—
google__gson-1093;545,836;454,165;1.000;—;418,206;0.690;—;553,618;1.000;—;441,965;0.421;—
fasterxml__jackson-core-174;401,655;238,317;0.310;—;445,625;0.841;—;331,175;0.421;—;453,488;0.690;—
fasterxml__jackson-core-183;391,882;472,129;0.310;—;536,329;0.548;—;306,543;1.000;—;688,894;0.222;—
fasterxml__jackson-databind-1923;349,868;413,072;0.841;—;411,647;0.421;—;348,817;0.690;—;375,398;0.841;—
googlecontainertools__jib-4035;210,025;234,357;0.548;—;322,112;0.310;—;250,634;0.841;—;373,694;0.222;—
mockito__mockito-3424;1,106,272;1,105,353;0.841;—;1,091,920;0.151;—;1,078,397;0.548;—;1,101,274;1.000;—
elastic__logstash-13914;1,092,691;1,110,887;0.690;—;1,073,346;1.000;—;1,110,905;0.548;—;1,107,922;0.310;—
mockito__mockito-3173;1,090,263;1,107,540;0.548;—;1,075,518;0.548;—;1,088,742;0.841;—;1,103,319;0.421;—
elastic__logstash-16681;1,085,292;1,082,262;0.841;—;1,119,286;0.690;—;1,066,204;1.000;—;1,090,323;0.310;—
alibaba__fastjson2-82;1,072,259;1,083,738;0.690;—;829,451;0.095;—;1,087,893;0.548;—;1,093,436;0.548;—
mockito__mockito-3129;1,064,252;1,063,765;1.000;—;984,503;0.690;—;1,090,167;0.056;—;1,074,451;1.000;—
googlecontainertools__jib-4144;1,049,843;704,480;0.151;—;831,803;0.151;—;921,883;0.310;—;1,117,882;0.841;—
