instance_id;med(s0-original);med(s1-renaming);p(s1-renaming);A12(s1-renaming);med(s2-structural);p(s2-structural);A12(s2-structural);med(s3-problem-statement);p(s3-problem-statement);A12(s3-problem-statement);med(s4-combined);p(s4-combined);A12(s4-combined)
fasterxml__jackson-databind-2036;870,479;1,065,390;0.421;—;1,113,145;0.056;—;890,977;0.841;—;1,123,503;0.032*;0.08 (large)
mockito__mockito-3167;1,076,508;1,102,680;0.151;—;1,061,772;0.421;—;1,078,503;0.841;—;1,118,482;0.008*;0.00 (large)
elastic__logstash-16579;958,161;980,618;1.000;—;951,535;1.000;—;964,492;1.000;—;953,074;0.690;—
fasterxml__jackson-core-370;859,413;1,101,920;0.690;—;730,087;0.841;—;519,884;1.000;—;1,105,350;0.421;—
apache__dubbo-11781;770,426;798,960;1.000;—;663,803;1.000;—;633,376;0.690;—;818,589;0.841;—
elastic__logstash-14970;740,407;792,104;0.841;—;785,483;0.690;—;763,279;1.000;—;761,798;0.841;—
elastic__logstash-14981;631,344;610,132;0.690;—;810,124;0.841;—;797,616;0.548;—;869,962;0.421;—
google__gson-1093;555,190;461,952;1.000;—;425,993;0.690;—;563,878;1.000;—;448,311;0.421;—
mockito__mockito-3220;554,374;315,956;0.222;—;892,641;0.222;—;311,952;0.095;—;1,092,758;0.310;—
fasterxml__jackson-core-174;410,583;243,852;0.310;—;454,342;0.841;—;339,574;0.421;—;461,374;0.690;—
fasterxml__jackson-core-183;399,214;481,684;0.310;—;545,840;0.548;—;312,952;1.000;—;700,883;0.222;—
fasterxml__jackson-databind-1923;355,160;421,132;0.841;—;418,116;0.421;—;355,513;0.841;—;381,961;0.841;—
googlecontainertools__jib-4035;214,433;238,331;0.548;—;327,733;0.310;—;255,816;0.841;—;382,121;0.222;—
mockito__mockito-3424;1,122,436;1,122,940;0.690;—;1,110,987;0.151;—;1,103,014;0.548;—;1,118,869;1.000;—
elastic__logstash-13914;1,111,981;1,130,440;0.690;—;1,095,750;1.000;—;1,129,222;0.548;—;1,126,214;0.310;—
mockito__mockito-3173;1,111,722;1,124,534;0.548;—;1,099,350;0.690;—;1,108,331;0.841;—;1,121,612;0.421;—
elastic__logstash-16681;1,107,389;1,106,105;1.000;—;1,135,631;0.690;—;1,091,387;1.000;—;1,109,718;0.421;—
alibaba__fastjson2-82;1,097,286;1,104,742;0.548;—;841,345;0.095;—;1,107,328;0.690;—;1,115,448;0.548;—
mockito__mockito-3129;1,087,953;1,087,441;1.000;—;1,002,835;0.690;—;1,111,575;0.056;—;1,098,603;1.000;—
googlecontainertools__jib-4144;1,075,263;718,022;0.151;—;843,947;0.151;—;936,116;0.310;—;1,134,567;0.548;—
